date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:05:06	240901/240901	---M--	200	added ('OK')	application/javascript	etag:%225a6f1d4f-3ad05%22	http://p13.zdassets.com/hc/assets/hc_enduser-99ecbf6c6034819f1a2d9f538431319f.js	D:/bin/bin/p13.zdassets.com/hc/assets/hc_enduser-99ecbf6c6034819f1a2d9f538431319f.js	(from https://support.binance.com/hc/en-us/articles/360000850171-System-Upgrade-Completed)
02:05:06	10140/10140	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:05:05%20GMT	https://support.binance.com/hc/en-us/articles/360000778631-System-Upgrade-Notice/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000778631-System-Upgrade-Notice/subscription	(from https://support.binance.com/hc/en-us/articles/360000778631-System-Upgrade-Notice)
02:05:07	10158/10158	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:05:06%20GMT	https://support.binance.com/hc/en-us/articles/360000737572-System-Upgrade-Complete/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000737572-System-Upgrade-Complete/subscription	(from https://support.binance.com/hc/en-us/articles/360000737572-System-Upgrade-Complete)
02:05:08	10203/10203	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:05:07%20GMT	https://support.binance.com/hc/en-us/articles/360000754711-System-Upgrade-Latest-Update/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000754711-System-Upgrade-Latest-Update/subscription	(from https://support.binance.com/hc/en-us/articles/360000754711-System-Upgrade-Latest-Update)
02:05:09	10167/10167	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:05:08%20GMT	https://support.binance.com/hc/en-us/articles/360000713851-System-Upgrade-Extension/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000713851-System-Upgrade-Extension/subscription	(from https://support.binance.com/hc/en-us/articles/360000713851-System-Upgrade-Extension)
02:05:10	10176/10176	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:05:09%20GMT	https://support.binance.com/hc/en-us/articles/360000710431-System-already-in-upgrade/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000710431-System-already-in-upgrade/subscription	(from https://support.binance.com/hc/en-us/articles/360000710431-System-already-in-upgrade)
02:05:11	1/1	---M--	404	error ('Not%20Found')	text/text	date:Tue,%2013%20Feb%202018%2023:05:10%20GMT	http://p13.zdassets.com/robots.txt		(from http://p13.zdassets.com/hc/assets/application-3b0b6df180f05e3fa954d2e4d90e4600.css)
02:06:30	2211587/2211587	---M--	200	added ('OK')	image/jpeg	etag:%22a61978fc7c98ba42a86563067c7e7186%22	http://theme.zdassets.com/theme_assets/1938355/38f6a0d333f5840a93257af4d8fe9a194fe61813.jpg	D:/bin/bin/theme.zdassets.com/theme_assets/1938355/38f6a0d333f5840a93257af4d8fe9a194fe61813.jpg	(from http://p13.zdassets.com/hc/theming_assets/1938355/114094048972/style.css?digest=360008825352&locale=en-us)
02:06:31	200/200	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202018%2023:06:30%20GMT	http://support.binance.com/hc/en-us/articles/360000496951-Triggers-Competition-1-000-Spots-Available-to-Share-a-Pool-of-154-500-TRIG-	D:/bin/bin/support.binance.com/hc/en-us/articles/360000496951-Triggers-Competition-1-000-Spots-Available-to-Share-a-Pool-of-154-500-TRIG-.2a.delayed	(from https://support.binance.com/hc/en-us/articles/360000496951)
02:06:35	24344/24344	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2023:02:12%20GMT	https://support.binance.com/hc/en-us/articles/360000496951-Triggers-Competition-1-000-Spots-Available-to-Share-a-Pool-of-154-500-TRIG-	D:/bin/bin/support.binance.com/hc/en-us/articles/360000496951-Triggers-Competition-1-000-Spots-Available-to-Share-a-Pool-of-154-500-TRIG-.html	(from https://support.binance.com/hc/en-us/articles/360000496951)
02:06:37	10626/10626	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:06:34%20GMT	https://support.binance.com/hc/en-us/articles/360000496951-Triggers-Competition-1-000-Spots-Available-to-Share-a-Pool-of-154-500-TRIG-/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000496951-Triggers-Competition-1-000-Spots-Available-to-Share-a-Pool-of-154-500-TRIG-/subscription.2c.delayed	(from https://support.binance.com/hc/en-us/articles/360000496951)
02:06:52	160/160	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Feb%202018%2023:06:51%20GMT	http://support.binance.com/hc/en-us/articles/360000598531-Community-Coin-of-the-Month-Round-6	D:/bin/bin/support.binance.com/hc/en-us/articles/360000598531-Community-Coin-of-the-Month-Round-6.2d.delayed	(from https://support.binance.com/hc/en-us/articles/360000598531)
02:06:54	25279/25279	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2023:06:01%20GMT	https://support.binance.com/hc/en-us/articles/360000598531-Community-Coin-of-the-Month-Round-6	D:/bin/bin/support.binance.com/hc/en-us/articles/360000598531-Community-Coin-of-the-Month-Round-6.html	(from https://support.binance.com/hc/en-us/articles/360000598531)
02:06:54	10266/10266	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Feb%202018%2023:06:53%20GMT	https://support.binance.com/hc/en-us/articles/360000598531-Community-Coin-of-the-Month-Round-6/subscription	D:/bin/bin/support.binance.com/hc/en-us/articles/360000598531-Community-Coin-of-the-Month-Round-6/subscription.2f.delayed	(from https://support.binance.com/hc/en-us/articles/360000598531)
